Loan_ID,Account_ID,Loan_Date,Loan_Amount,Duration,Payments,Status,Frequency,Account_Date,Client_ID,owner_count,user_count,is_joint_account,txn_count,active_days,Avg_Trans_Amount,Total_Trans_Amount,Avg_Balance,Balance_Volatility,Total_Credit,Total_Debit,Net_Cashflow,Order_Count,Total_Order_Amount,Avg_Order_Amount,card_count,has_card,gold_card_count,district_name,region,avg_salary,unemployment_rate_1,unemployment_rate_2,avg_unemployment_rate,entrepreneurs_per_1000,crimes_1,crimes_2
5314,1787,1993-07-05,96396,12,8033,B,"POPLATEK TYDNE",1993-03-22,2166,1,0,0,8,8,11427.75,91422,29542.5,19439.73,62422,29000,33422,1,8033.2001953125,8033.2,0,0,0,Sokolov,"west Bohemia",9650,3.38,3.67,3.525000057220459,100,2985,2804
5316,1801,1993-07-11,165960,36,4610,A,"POPLATEK MESICNE",1993-02-13,2181,1,0,0,51,41,11023.86,562217,53611.39,25629.03,317429,244788,72641,4,13152,3288,0,0,0,Nachod,"east Bohemia",8369,1.79,2.31,2.049999980926514,117,2854,2618
5325,1843,1993-08-03,105804,36,2939,A,"POPLATEK MESICNE",1993-01-30,2235,1,0,0,32,27,8106.38,259404,38768.91,14020.48,139660,119744,19916,2,9932.699951171875,4966.35,1,1,0,Pribram,"central Bohemia",8754,3.83,4.31,4.069999961853027,137,3804,3868
5523,2705,1993-12-08,93888,36,2608,A,"POPLATEK PO OBRATU",1993-07-05,3264,1,0,0,6,6,6246,37476,21610.83,12895.4,37476,0,37476,2,13331.199951171875,6665.6,0,0,0,Vyskov,"south Moravia",8288,3.79,4.52,4.1549999809265135,110,1562,1460
4959,2,1994-01-05,80952,24,3373,A,"POPLATEK MESICNE",1993-02-26,2,1,0,1,24,23,10294.92,247078,37852.46,13719.93,136966,110112,26854,2,10638.699951171875,5319.35,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5479,2486,1994-01-10,24516,12,2043,A,"POPLATEK MESICNE",1993-02-27,3001,1,0,0,40,31,19147.58,765903,49400.45,31275.46,395217,370686,24531,1,2043,2043,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5170,1071,1994-01-20,253200,60,4220,C,"POPLATEK TYDNE",1993-05-10,1286,1,0,0,13,13,17843.85,231970,56682.62,27224.02,140870,91100,49770,1,4219.5,4219.5,0,0,0,"Frydek - Mistek","north Moravia",9893,4.09,4.72,4.405000076293945,96,5623,5887
5285,1603,1994-02-06,78936,12,6578,A,"POPLATEK MESICNE",1993-05-09,1944,1,0,0,11,11,4390.55,48296,23057.18,11853.07,43396,4900,38496,3,10124,3374.67,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5189,1166,1994-02-07,149040,48,3105,A,"POPLATEK MESICNE",1993-04-21,1404,1,0,0,12,12,10786.33,129436,35002.75,16252.53,86536,42900,43636,2,7502.199951171875,3751.1,0,0,0,"Praha - zapad","central Bohemia",9622,0.45,0.59,0.5199999940395355,154,3475,3529
5519,2694,1994-03-08,91632,12,7636,A,"POPLATEK MESICNE",1993-03-08,3251,1,0,1,23,22,8519.22,195942,42147.17,15301.85,121563,74379,47184,2,11168,5584,0,0,0,Melnik,"central Bohemia",9920,2.26,2.87,2.5649999952316285,130,4289,4846
5130,813,1994-05-11,24312,12,2026,A,"POPLATEK MESICNE",1993-02-10,976,1,0,0,29,22,5751,166779,27837.83,9019.58,95463,71316,24147,1,2025.699951171875,2025.7,0,0,0,"Jindrichuv Hradec","south Bohemia",8427,1.12,1.54,1.3300000023841858,107,1874,1913
5568,2933,1994-05-17,272520,60,4542,C,"POPLATEK MESICNE",1993-06-18,3542,1,0,1,18,17,11525.22,207454,43234.83,23555.61,112176,95278,16898,2,10449,5224.5,0,0,0,"Praha - vychod","central Bohemia",10124,0.56,0.54,0.5500000011920929,141,3810,4316
5002,173,1994-05-31,104808,12,8734,A,"POPLATEK MESICNE",1993-11-26,210,1,0,1,0,0,0,0,0,0,0,0,0,5,17342,3468.4,0,0,0,"Zdar nad Sazavou","south Moravia",8512,3.51,4.12,3.8149999952316285,102,2247,2103
5319,1811,1994-06-23,239460,60,3991,C,"POPLATEK MESICNE",1993-09-22,2195,1,0,0,0,0,0,0,0,0,0,0,0,3,14941.800048828125,4980.6,0,0,0,Teplice,"north Bohemia",9317,6.49,7.07,6.779999885559082,97,6949,6872
5657,3354,1994-07-05,4980,12,415,A,"POPLATEK MESICNE",1993-11-05,4056,1,0,0,0,0,0,0,0,0,0,0,0,4,5148,1287,0,0,0,Vyskov,"south Moravia",8288,3.79,4.52,4.1549999809265135,110,1562,1460
5533,2762,1994-07-05,111384,24,4641,A,"POPLATEK MESICNE",1993-03-20,3335,1,0,0,45,31,17487.62,786943,71139.36,27872.1,447396,339547,107849,3,12266,4088.67,0,0,0,Prachatice,"south Bohemia",8402,3.13,3.98,3.555000057220459,120,999,1099
5549,2824,1994-07-16,50460,60,841,C,"POPLATEK MESICNE",1993-10-20,3414,1,0,0,0,0,0,0,0,0,0,0,0,2,8130,4065,1,1,1,"Praha - zapad","central Bohemia",9622,0.45,0.59,0.5199999940395355,154,3475,3529
5060,426,1994-07-19,252060,60,4201,D,"POPLATEK MESICNE",1993-11-29,512,1,0,0,0,0,0,0,0,0,0,0,0,3,12584.2001953125,4194.73,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5126,790,1994-07-24,208128,48,4336,B,"POPLATEK MESICNE",1993-05-11,946,1,0,0,8,8,8234.25,65874,30755.12,15806.32,48274,17600,30674,1,4335.7998046875,4335.8,1,1,0,"Brno - mesto","south Moravia",9897,1.6,1.96,1.780000011920929,140,18721,18696
5395,2176,1994-07-30,299088,36,8308,B,"POPLATEK MESICNE",1993-06-06,2635,1,0,0,23,15,21585.87,496475,84390.83,46337.93,294434,202041,92393,3,14527.7998046875,4842.6,0,0,0,Bruntal,"north Moravia",8110,5.77,6.55,6.159999990463257,109,3244,3079
5595,3050,1994-09-02,82896,12,6908,A,"POPLATEK MESICNE",1993-05-08,3687,1,0,1,9,9,23895.67,215061,61468.33,33291.24,157061,58000,99061,4,16783.5,4195.88,1,1,0,Prostejov,"south Moravia",8441,3.45,4.48,3.965000023841858,115,1879,2252
5723,3674,1994-09-10,23628,12,1969,A,"POPLATEK MESICNE",1993-03-12,4428,1,0,0,18,16,11770.28,211865,47866.39,25528.41,142850,69015,73835,2,11471.699951171875,5735.85,0,0,0,Louny,"north Bohemia",8965,7.08,8.23,7.654999961853028,104,2653,2822
5161,1012,1994-10-28,98184,24,4091,A,"POPLATEK MESICNE",1994-07-09,1216,1,0,0,0,0,0,0,0,0,0,0,0,1,4090.800048828125,4090.8,0,0,0,Znojmo,"south Moravia",8403,5.74,5.72,5.7299998855590815,105,2157,2718
5390,2167,1994-10-30,170256,24,7094,A,"POPLATEK MESICNE",1993-08-08,2623,1,0,0,1,1,200,200,200,0,200,0,200,2,13016,6508,1,1,0,"Jindrichuv Hradec","south Bohemia",8427,1.12,1.54,1.3300000023841858,107,1874,1913
5032,290,1994-11-03,123696,48,2577,A,"POPLATEK MESICNE",1993-12-02,352,1,0,0,0,0,0,0,0,0,0,0,0,3,8504,2834.67,0,0,0,Breclav,"south Moravia",8772,4.69,4.98,4.83500002861023,126,2854,3158
5176,1106,1994-11-12,192552,24,8023,B,"POPLATEK TYDNE",1993-08-29,1327,1,0,0,1,1,800,800,800,0,800,0,800,1,8022.7998046875,8022.8,0,0,0,Strakonice,"south Bohemia",8547,2.65,3.64,3.145000047683716,120,1563,1542
5269,1527,1994-11-19,164052,36,4557,B,"POPLATEK PO OBRATU",1993-11-17,1851,1,0,0,0,0,0,0,0,0,0,0,0,1,4557.2001953125,4557.2,0,0,0,Tachov,"west Bohemia",8930,3.52,4.2,3.859999990463257,108,1328,1452
5351,1978,1994-12-04,205200,36,5700,A,"POPLATEK TYDNE",1993-06-11,2403,1,0,0,6,6,15914.33,95486,33543.33,18692.64,69386,26100,43286,4,18957.2998046875,4739.32,0,0,0,Hodonin,"south Moravia",8720,3.73,4.5,4.115000009536743,116,3729,3651
5450,2345,1994-12-11,199680,60,3328,C,"POPLATEK MESICNE",1993-10-25,2834,1,0,0,0,0,0,0,0,0,0,0,0,2,6940.199951171875,3470.1,0,0,0,Kolin,"central Bohemia",9307,3.85,4.43,4.139999952316284,118,2616,3040
5044,344,1994-12-21,100980,60,1683,C,"POPLATEK MESICNE",1993-12-01,421,1,0,0,0,0,0,0,0,0,0,0,0,2,6422,3211,0,0,0,"Brno - mesto","south Moravia",9897,1.6,1.96,1.780000011920929,140,18721,18696
